Walls,Value,Queens:
17293822569102704640,8,612490718627373060
16717361816799281152,8,297378321619042320
16429131440647569408,8,1333066864091471880
16285016252571713536,8,577164577201197120
16212958658533785600,8,162134124219334920
16176929861514821632,8,1153493525606703105
16158915463005339648,8,1189240847642657280
16149908263750598656,8,1189266995372097540
16145404664123228160,9,1189266995372101636
16143152864309542912,9,613070108662695968
16142026964402700288,9,324549719187522064
16141464014449278976,8,153126791820608008
16141182539472568320,8,73201635920715777
16141041801984212992,8,1188951419391182976
16140971433240035328,8,1170937020881700992
16140936248867946496,9,585613156886323202
16140918656681902080,9,1154189379086991376
16140909860588879872,9,585609806010647048
16140905462542368768,9,1154083706651150464
16140903263519113216,9,148760660136960002
16140902164007485440,8,297240049576149000
16140901614251671552,8,1153625196482004000
16140901339373764608,9,594476817797234704
16140901201934811136,9,297246655244148737
16140901133215334400,9,1154188313838489601
16140901098855596032,9,1153493529901670408
16140901081675726848,9,306254125073571844
16140901073085792256,9,146402726380584962
16140901068790824960,8,612490666032759312
16140901066643341312,8,146402722084634640
16140901065569599488,9,1170938241793212424
16140901065032728576,9,81205600608329732
16140901064764293120,9,292804349489451136
16140901064630075392,9,90080928295027208
16140901064562966528,9,297239845313986564
16140901064529412096,9,577094088742928912
16140901064512634880,8,288582290739628064
16140901064504246272,8,1153625196482004000
16140901064500051968,8,1170944703581913152
16140901064497954816,9,74345128018314272
16140901064496906240,9,1170938137044648976
16140901064496381952,9,577094139796070408
16140901064496119808,9,292804348954705924
16140901064495988736,9,146402722085683202
16140901064495923200,8,1188959102083007040
16140901064495890432,8,1153493525606703105
16140901064495874048,8,292736724579125280
16140901064495865856,9,594479686333006112
16140901064495861760,9,292804353249542416
16140901064495859712,9,594479686333006088
16140901064495858688,9,292804353249542404
16140901064495858176,8,576759828593262594
16140901064495857920,8,577164509538485280
16140901064495857792,8,577094088726151440
16140901064495857728,8,162147195968030880
16140901064495857696,8,9016005012489345
16140901064495857680,8,9016005012489345
16140901064495857672,8,2254273784086545
16140901064495857668,8,9011872313475090
16140901064495857666,8,146402722084634640
16140901064495857665,8,1153211915263164420
15564440312192434176,8,2306986776201790080
15276209936040722432,8,738591438677221380
15132094747964866560,8,297246377942990850
15060037153926938624,8,2882884853416592385
15024008356907974656,8,2306970558522343440
15005993958398492672,8,2918631634292965380
14996986759143751680,9,2918631634825920512
14992483159516381184,8,2918631625732407300
14990231359702695936,9,2918631634289049608
14989105459795853312,9,324575866916966404
14988542509842432000,9,2452280372289998852
14988261034865721344,9,2379096880635183376
14988120297377366016,9,2485991667375538448
14988049928633188352,8,297387113551233600
14988014744261099520,9,2918333727841067012
14987997152075055104,9,292806578451517441
14987988355982032896,9,2452280370210570248
14987983957935521792,9,297248845417681024
14987981758912266240,9,148760660136960002
14987980659400638464,9,2380222778252070916
14987980109644824576,9,2485991667375538448
14987979834766917632,9,594476817797234704
14987979697327964160,9,2918333727841067012
14987979628608487424,9,148759697007317056
14987979594248749056,9,297246650806702208
14987979577068879872,9,306254125073571844
14987979568478945280,9,2449962874651545602
14987979564183977984,9,2452211646639374656
14987979562036494336,9,2485991667375538448
14987979560962752512,9,2452280368063070209
14987979560425881600,9,2918333727841067012
14987979560157446144,9,585469120897614976
14987979560023228416,9,2308097558146189313
14987979559956119552,9,2630104415788339204
14987979559922565120,9,2379096882641109512
14987979559905787904,9,2379096880635183376
14987979559897399296,9,2594425299953387648
14987979559893204992,9,2918333727841075204
14987979559891107840,9,2918333727841067012
14987979559890059264,9,76702068731154436
14987979559889534976,9,2452280367996207368
14987979559889272832,9,2630104415788339204
14987979559889141760,9,153127060397690882
14987979559889076224,9,2630104415788339201
14987979559889043456,9,2594425299953387648
14987979559889027072,8,2450028600410509376
14987979559889018880,9,2308097283197272352
14987979559889014784,9,2380222771877675536
14987979559889012736,9,297246377942991368
14987979559889011712,9,2594075655256162564
14987979559889011200,8,2918333727841058820
14987979559889010944,9,2630104415788339201
14987979559889010816,8,2918333726767333380
14987979559889010752,8,2918333726767333380
14987979559889010720,8,2918336956582727745
14987979559889010704,8,577164509538485280
14987979559889010696,8,144150922221076500
14987979559889010692,8,2918336956582727745
14987979559889010690,8,2918350159312076805
14987979559889010689,8,2306970558656546880
14699749183737298944,8,1315052210033264640
14555633995661443072,8,2702159845141907520
14483576401623515136,8,1315052210033264640
14447547604604551168,8,1297071895308927360
14429533206095069184,8,1297071895308927360
14420526006840328192,9,2342157749049231392
14416022407212957696,9,1477497371523813376
14413770607399272448,8,1477215870743740680
14412644707492429824,9,1477471223794369024
14412081757539008512,9,1315052210033264642
14411800282562297856,9,2379044645117624896
14411659545073942528,9,2485991667375538448
14411589176329764864,9,1243002568200691714
14411553991957676032,9,2306199321848186912
14411536399771631616,9,292806578451517441
14411527603678609408,9,2452280434634066048
14411523205632098304,9,1477189478234718784
14411521006608842752,9,1297072994820163712
14411519907097214976,9,2379044645117624896
14411519357341401088,9,2485991667375538448
14411519082463494144,8,2630104415771561985
14411518945024540672,9,297246655244148737
14411518876305063936,9,2306987059924961281
14411518841945325568,9,324268252867854608
14411518824765456384,9,2306986784908706944
14411518816175521792,9,153127064692592642
14411518811880554496,9,2379096882641109256
14411518809733070848,9,2485991667375538448
14411518808659329024,9,2450028572544352264
14411518808122458112,9,81205600608329732
14411518807854022656,9,74379833497355296
14411518807719804928,9,2308097558146189313
14411518807652696064,9,1459168514798584864
14411518807619141632,9,2452280370210538112
14411518807602364416,9,2452211646639374656
14411518807593975808,9,1459168514798616608
14411518807589781504,9,2450028600418897984
14411518807587684352,9,76631571544940552
14411518807586635776,9,1226245873613279296
14411518807586111488,9,2452211098763673608
14411518807585849344,9,2630102186817884164
14411518807585718272,9,153127060397690882
14411518807585652736,9,2630104415788339201
14411518807585619968,9,2594425299953387648
14411518807585603584,8,1315052210033264640
14411518807585595392,9,2308097283197272352
14411518807585591296,9,2306987051079713296
14411518807585589248,9,2594075655256162568
14411518807585588224,9,1153519657186525444
14411518807585587712,9,1315052210033264642
14411518807585587456,9,2630104415788339201
14411518807585587328,8,1315052210033264640
14411518807585587264,8,2630104415771561985
14411518807585587232,8,1297071895308927360
14411518807585587216,8,2630104415771561985
14411518807585587208,8,1297071895308927360
14411518807585587204,8,1315052210033264640
14411518807585587202,8,2630104415771561985
14411518807585587201,8,1297071895308927360
14267403619509731328,8,594480098649833760
14195346025471803392,8,2485987028685295680
14159317228452839424,8,2452280372289867780
14141302829943357440,8,2488238794190372865
14132295630688616448,9,2488273982857428992
14127792031061245952,9,1243002432833851396
14125540231247560704,9,666550886826778628
14124414331340718080,8,1153211915263164420
14123851381387296768,9,1315053326722728992
14123569906410586112,9,2379044645117624896
14123429168922230784,9,2485991667375538448
14123358800178053120,9,1243002568200691714
14123323615805964288,9,2307056880790276097
14123306023619919872,9,1333100678436896776
14123297227526897664,9,2452211371761500168
14123292829480386560,9,1226140201177450624
14123290630457131008,9,738595286725689632
14123289530945503232,9,2379096882641109256
14123288981189689344,9,2485991667375538448
14123288706311782400,9,594476817797234704
14123288568872828928,9,2485988368834364432
14123288500153352192,9,2379044378946600976
14123288465793613824,9,74379850642753568
14123288448613744640,9,2306986784908706944
14123288440023810048,9,2452280370210538112
14123288435728842752,9,657666300285292546
14123288433581359104,9,657666351845868608
14123288432507617280,9,2452280368063070209
14123288431970746368,9,1261043098289571872
14123288431702310912,9,1154048643646373896
14123288431568093184,9,756622346783033408
14123288431500984320,9,2379096880635187204
14123288431467429888,9,2379096882641109512
14123288431450652672,9,1242995833683673096
14123288431442264064,8,738590888711757952
14123288431438069760,9,2450028600418897984
14123288431435972608,9,153123761997225992
14123288431434924032,9,76702068731154436
14123288431434399744,9,2452211098763673608
14123288431434137600,9,1225014301271162884
14123288431434006528,9,1315052210033264642
14123288431433940992,9,2452211646639374656
14123288431433908224,8,738590356093800576
14123288431433891840,8,666550346163684480
14123288431433883648,9,1261043098289571872
14123288431433879552,9,657525555260851216
14123288431433877504,9,1261016966701785608
14123288431433876480,9,1153519657186525444
14123288431433875968,9,1315052210033264642
14123288431433875712,8,148623191118979073
14123288431433875584,8,1315052210033264640
14123288431433875520,8,648536488320959520
14123288431433875488,8,612489618077516100
14123288431433875472,8,1333066864091471880
14123288431433875464,8,1226105138138187840
14123288431433875460,8,9011668168280130
14123288431433875458,8,2306987051079696960
14123288431433875457,8,1333100674140946440
14051230837395947520,8,1153493525606703105
14015202040376983552,8,1226105138138187840
13997187641867501568,8,1226105138138187840
13988180442612760576,9,2342157749049231392
13983676842985390080,9,1171226313772634116
13981425043171704832,9,612775492138960928
13980299143264862208,9,324549719187522064
13979736193311440896,8,1226245873512497160
13979454718334730240,9,684548312665300996
13979313980846374912,8,684565285839306816
13979243612102197248,9,666550886830441504
13979208427730108416,9,2308167447663870212
13979190835544064000,9,1243002432833851396
13979182039451041792,9,585609806010647048
13979177641404530688,9,364864171944476704
13979175442381275136,8,364792120110219840
13979174342869647360,9,2379044645117624896
13979173793113833472,9,657666351845868608
13979173518235926528,9,666550895919498304
13979173380796973056,9,1261043098289571872
13979173312077496320,9,594493301881635856
13979173277717757952,9,577041861915983873
13979173260537888768,9,306254125073571844
13979173251947954176,9,1153625333853848072
13979173247652986880,9,369297643362877456
13979173245505503232,9,657666351845868608
13979173244431761408,9,666550346172073024
13979173243894890496,9,1261043098289571872
13979173243626455040,9,612494017196720416
13979173243492237312,9,1153238199423238148
13979173243425128448,9,2379096880635187204
13979173243391574016,9,577094088742928912
13979173243374796800,9,2379096880635183376
13979173243366408192,8,1261007913917513760
13979173243362213888,8,594475159948166208
13979173243360116736,9,2308097558079340832
13979173243359068160,9,2380222842676580356
13979173243358543872,9,577094139796070408
13979173243358281728,9,2379096872045383684
13979173243358150656,9,2379096882641109512
13979173243358085120,9,378305118015586576
13979173243358052352,8,577094139745673220
13979173243358035968,8,2413929470063937600
13979173243358027776,9,1225014301270640672
13979173243358023680,9,1153519657186525456
13979173243358021632,9,2308097283197272328
13979173243358020608,9,1153519657186525444
13979173243358020096,8,657666292748386306
13979173243358019840,8,396325838179672065
13979173243358019712,8,2308095979406114820
13979173243358019648,8,288582290739693600
13979173243358019616,8,81205549035160080
13979173243358019600,8,2413947001184976900
13979173243358019592,8,1226105138138187840
13979173243358019588,8,1261043098289571840
13979173243358019586,8,2306986512044015625
13979173243358019585,8,577094139745673220
13943144446339055616,8,1153343751469401120
13925130047829573632,8,2342434760619462660
13916122848574832640,9,2342157749049231392
13911619248947462144,9,1171226313772634116
13909367449133776896,9,612788625612226568
13908241549226934272,9,324549719187522064
13907678599273512960,8,162130705426417666
13907397124296802304,8,148689190832316420
13907256386808446976,8,306247523977658640
13907186018064269312,8,1153660394674848000
13907150833692180480,9,585613224569737217
13907133241506136064,9,292806578451517441
13907124445413113856,9,2308167445581465728
13907120047366602752,9,1154083706651150464
13907117848343347200,9,148760660136960002
13907116748831719424,8,2306194863672262920
13907116199075905536,8,2341873180756574224
13907115924197998592,9,594493301881635904
13907115786759045120,9,2306424105542353952
13907115718039568384,9,148759697007317056
13907115683679830016,9,1153493529901670408
13907115666499960832,9,306254125073571844
13907115657910026240,9,146402726380584962
13907115653615058944,8,2306142626153236482
