Walls,Value,Queens:
65536,8,577164577201193280
1152921504606846976,8,4684869651959644680
4,8,1153343751469401120
16,8,2306986776201790080
128,8,1154188177435598850
68719476736,9,1154188313838489601
8796093022208,9,2308167445581465728
32768,8,1188985504251644032
4398046511104,9,324296590946734084
562949953421312,8,4614360099461268480
1125899906842624,9,324549719187522064
17179869184,9,2306986784908706944
1024,9,292804353249542404
4096,9,1153519657186525456
4503599627370496,9,1189240847642657296
256,8,594492752125822080
